EarthPod Sensor Log
Created: Thu Jul 16 01:17:27 2020

Measurement Time,Time Step (s),Temperature (C),Humidity (%),Light (lux),Pressure (kPa),Interrupt Counter (counts/time step),Wind (m/s),Airflow (m/s),Airflow Ambient Temp (C),Airflow Error
Wed Sep 16 19:24:21 2020,6.207,37.363,23.025,7480.32,96.964320312,0,0.0,0.488,42.69,0
Wed Sep 16 19:24:29 2020,6.211,37.386,24.406,7513.6,96.964753906,0,0.0,0.537,42.76,0
Wed Sep 16 19:24:36 2020,6.209,37.484,25.494,7500.8,96.966589843,0,0.0,0.578,42.54,0
Wed Sep 16 19:24:43 2020,6.206,37.608,24.052,7493.12,96.966519531,0,0.0,0.339,44.39,0
Wed Sep 16 19:24:50 2020,6.207,37.655,24.203,7457.28,96.965898437,0,0.0,0.537,42.61,0
Wed Sep 16 19:24:57 2020,6.206,37.728,23.371,7406.08,96.962808593,0,0.0,0.443,42.07,0
Wed Sep 16 19:25:04 2020,6.208,37.817,24.359,7459.84,96.962449218,0,0.0,0.609,42.42,0
Wed Sep 16 19:25:11 2020,6.21,37.794,23.17,7441.92,96.963703125,0,0.0,0.421,41.73,0
Wed Sep 16 19:25:18 2020,6.208,37.897,22.058,7447.04,96.959429687,0,0.0,0.262,46.22,0
Wed Sep 16 19:25:25 2020,6.207,37.955,21.07,7429.12,96.95940625,0,0.0,0.292,45.3,0
Wed Sep 16 19:25:32 2020,6.211,37.922,21.029,7375.36,96.961160156,0,0.0,0.157,49.99,0
Wed Sep 16 19:25:39 2020,6.209,37.955,21.751,7344.64,96.960796875,0,0.0,0.372,44.02,0
Wed Sep 16 19:25:46 2020,6.209,38.058,21.148,7283.2,96.961675781,0,0.0,0.647,42.21,0
Wed Sep 16 19:25:53 2020,6.21,38.076,22.706,7344.64,96.963550781,0,0.0,0.755,41.72,0
Wed Sep 16 19:26:00 2020,6.21,38.154,22.204,7411.2,96.960871093,0,0.0,0.925,40.93,0
Wed Sep 16 19:26:07 2020,6.208,38.091,21.849,7331.84,96.960976562,0,0.0,0.714,40.91,0
Wed Sep 16 19:26:14 2020,6.208,38.174,22.421,7265.28,96.960574218,0,0.0,0.75,40.74,0
Wed Sep 16 19:26:21 2020,6.205,38.177,20.921,7406.08,96.961851562,0,0.0,0.38,41.77,0
Wed Sep 16 19:26:28 2020,6.207,38.124,21.035,7285.76,96.956894531,0,0.0,0.726,40.1,0
Wed Sep 16 19:26:35 2020,6.209,38.187,22.315,7267.84,96.96215625,0,0.0,0.672,40.91,0
Wed Sep 16 19:26:42 2020,6.207,38.189,22.943,7303.68,96.961789062,0,0.0,0.467,41.15,0
Wed Sep 16 19:26:49 2020,6.21,38.212,23.518,7339.52,96.961824218,0,0.0,0.769,40.56,0
Wed Sep 16 19:26:56 2020,6.211,38.305,22.174,7293.44,96.96303125,0,0.0,0.507,40.15,0
Wed Sep 16 19:27:03 2020,6.209,38.363,22.007,7393.28,96.966648437,0,0.0,0.749,39.76,0
Wed Sep 16 19:27:10 2020,6.209,38.401,22.872,7339.52,96.961792968,0,0.0,0.703,41.14,0
Wed Sep 16 19:27:17 2020,6.208,38.418,22.566,7321.6,96.964808593,0,0.0,0.741,40.8,0
Wed Sep 16 19:27:24 2020,6.207,38.376,21.041,7324.16,96.961792968,0,0.0,0.731,40.04,0
