EarthPod Sensor Log
Created: Wed Jun 24 01:17:26 2020

Measurement Time,Time Step (s),Temperature (C),Humidity (%),Light (lux),Pressure (kPa),Wind (m/s)
Wed Jun 24 02:26:14 2020,6.919,32.187,35.827,14919.68,95.804703125,0.0
Wed Jun 24 02:26:21 2020,6.92,32.154,34.428,15052.8,95.803136718,0.0
Wed Jun 24 02:26:28 2020,6.921,32.187,37.283,15078.4,95.807878906,0.0
Wed Jun 24 02:26:35 2020,6.92,32.089,38.42,14126.08,95.804316406,0.0
Wed Jun 24 02:26:42 2020,6.919,32.162,37.387,14156.8,95.805019531,0.0
Wed Jun 24 02:26:48 2020,6.92,32.275,36.549,13757.44,95.8044375,0.0
Wed Jun 24 02:26:55 2020,6.92,32.177,35.351,14510.08,95.80728125,0.0
Wed Jun 24 02:27:02 2020,6.92,32.275,34.764,13875.2,95.807597656,0.0
Wed Jun 24 02:27:09 2020,6.92,32.308,35.946,14274.56,95.805191406,0.0
Wed Jun 24 02:27:16 2020,6.92,32.331,36.604,14074.88,95.805539062,0.0
Wed Jun 24 02:27:23 2020,6.92,32.343,34.066,14407.68,95.805113281,0.0
Wed Jun 24 02:27:30 2020,6.92,32.32,35.417,15815.68,95.8070625,0.0
Wed Jun 24 02:27:37 2020,6.92,32.308,36.05,15421.44,95.808167968,0.0
Wed Jun 24 02:27:44 2020,6.92,32.3,33.65,16117.76,95.802636718,0.0
Wed Jun 24 02:27:51 2020,6.92,32.318,35.961,16189.44,95.804316406,0.0
Wed Jun 24 02:27:58 2020,6.921,32.371,36.753,16327.68,95.799355468,0.0
Wed Jun 24 02:28:05 2020,6.919,32.388,36.224,16337.92,95.801675781,0.0
Wed Jun 24 02:28:11 2020,6.92,32.351,33.534,16481.28,95.803617187,0.0
Wed Jun 24 02:28:18 2020,6.919,32.409,35.14,16829.44,95.803050781,0.0
Wed Jun 24 02:28:25 2020,6.92,32.436,32.579,16317.44,95.799714843,0.0
Wed Jun 24 02:28:32 2020,6.921,32.343,33.813,17054.72,95.803542968,0.0
Wed Jun 24 02:28:39 2020,6.919,32.29,35.99,16322.56,95.802628906,0.0
Wed Jun 24 02:28:46 2020,6.92,32.278,35.748,16404.48,95.804722656,0.0
Wed Jun 24 02:28:53 2020,6.92,32.336,35.121,15559.68,95.805136718,0.0
Wed Jun 24 02:29:00 2020,6.916,32.318,35.595,16066.56,95.798773437,0.0
Wed Jun 24 02:29:07 2020,6.92,32.351,32.664,17715.2,95.810136718,0.0
Wed Jun 24 02:29:14 2020,6.92,32.373,32.751,15887.36,95.805820312,0.0
Wed Jun 24 02:29:21 2020,6.92,32.406,35.267,16143.36,95.811734375,0.0
Wed Jun 24 02:29:28 2020,6.92,32.373,34.53,17018.88,95.811144531,0.0
Wed Jun 24 02:29:35 2020,6.92,32.341,32.542,16558.08,95.805210937,0.0
Wed Jun 24 02:29:41 2020,6.92,32.363,33.798,16435.2,95.799574218,0.0
Wed Jun 24 02:29:48 2020,6.92,32.376,36.155,16578.56,95.8061875,0.0
Wed Jun 24 02:29:55 2020,6.92,32.429,38.122,16624.64,95.805773437,0.0
Wed Jun 24 02:30:02 2020,6.92,32.426,34.706,17013.76,95.804996093,0.0
Wed Jun 24 02:30:09 2020,6.92,32.439,36.068,16624.64,95.80490625,0.0
Wed Jun 24 02:30:16 2020,6.919,32.411,35.435,17448.96,95.809261718,0.0
Wed Jun 24 02:30:23 2020,6.92,32.333,34.756,16952.32,95.810582031,0.0
Wed Jun 24 02:30:30 2020,6.921,32.361,34.144,16931.84,95.811675781,0.0
Wed Jun 24 02:30:37 2020,6.919,32.318,34.579,16230.4,95.806425781,0.0
Wed Jun 24 02:30:44 2020,6.92,32.331,33.515,15790.08,95.807441406,0.0
Wed Jun 24 02:30:51 2020,6.919,32.283,34.387,15918.08,95.80653125,0.0
Wed Jun 24 02:30:58 2020,6.92,32.29,34.947,16358.4,95.805453125,0.0
Wed Jun 24 02:31:04 2020,6.92,32.308,34.045,17341.44,95.805699218,0.0
Wed Jun 24 02:31:11 2020,6.92,32.255,33.427,16389.12,95.806230468,0.0
Wed Jun 24 02:31:18 2020,6.919,32.373,32.745,16373.76,95.802816406,0.0
Wed Jun 24 02:31:25 2020,6.92,32.265,35.871,16276.48,95.804675781,0.0
Wed Jun 24 02:31:32 2020,6.92,32.192,36.514,16261.12,95.805277343,0.0
Wed Jun 24 02:31:39 2020,6.919,32.27,36.927,16179.2,95.8055,0.0
Wed Jun 24 02:31:46 2020,6.92,32.263,37.948,16092.16,95.804945312,0.0
Wed Jun 24 02:31:53 2020,6.919,32.31,37.474,17039.36,95.807328125,0.0
Wed Jun 24 02:32:00 2020,6.92,32.288,36.196,17546.24,95.810917968,0.0
Wed Jun 24 02:32:07 2020,6.92,32.305,38.822,17172.48,95.810277343,0.0
Wed Jun 24 02:32:14 2020,6.92,32.348,36.291,16834.56,95.807933593,0.0
Wed Jun 24 02:32:21 2020,6.92,32.325,34.681,16983.04,95.810824218,0.0
Wed Jun 24 02:32:28 2020,6.922,32.268,36.367,16972.8,95.810246093,0.0
Wed Jun 24 02:32:34 2020,6.92,32.29,38.066,16947.2,95.809765625,0.0
Wed Jun 24 02:32:41 2020,6.92,32.363,37.789,17249.28,95.809269531,0.0
Wed Jun 24 02:32:48 2020,6.919,32.3,36.882,17172.48,95.810394531,0.0
Wed Jun 24 02:32:55 2020,6.919,32.197,35.128,17264.64,95.806449218,0.0
Wed Jun 24 02:33:02 2020,6.92,32.164,35.09,16824.32,95.80584375,0.0
Wed Jun 24 02:33:09 2020,6.92,32.197,38.012,17802.24,95.805320312,0.0
Wed Jun 24 02:33:16 2020,6.92,32.169,37.715,17715.2,95.80440625,0.0
Wed Jun 24 02:33:23 2020,6.92,32.091,37.789,17889.28,95.804042968,0.0
Wed Jun 24 02:33:30 2020,6.92,32.018,40.519,17561.6,95.804121093,0.0
Wed Jun 24 02:33:37 2020,6.92,32.076,40.054,17423.36,95.802023437,0.0
Wed Jun 24 02:33:44 2020,6.92,32.008,40.312,17269.76,95.803808593,0.0
Wed Jun 24 02:33:51 2020,6.92,31.945,39.273,17459.2,95.804195312,0.0
Wed Jun 24 02:33:58 2020,6.949,31.887,39.726,17653.76,95.804953125,0.0
Wed Jun 24 02:34:04 2020,6.918,31.87,37.658,17443.84,95.803800781,0.0
Wed Jun 24 02:34:11 2020,6.92,31.827,36.149,17653.76,95.8068125,0.0
Wed Jun 24 02:34:18 2020,6.92,31.744,39.535,17940.48,95.803539062,0.0
Wed Jun 24 02:34:25 2020,6.92,31.701,40.806,17740.8,95.8099375,0.0
Wed Jun 24 02:34:32 2020,6.922,31.749,42.52,18176.0,95.804785156,0.0
Wed Jun 24 02:34:39 2020,6.918,31.812,38.584,17715.2,95.803464843,0.0
Wed Jun 24 02:34:46 2020,6.92,31.759,39.401,18365.44,95.802535156,0.0
Wed Jun 24 02:34:53 2020,6.92,31.772,38.542,17623.04,95.807195312,0.0
Wed Jun 24 02:35:00 2020,6.92,31.769,38.107,17761.28,95.803234375,0.0
Wed Jun 24 02:35:07 2020,6.919,31.716,38.142,17966.08,95.802855468,0.0
Wed Jun 24 02:35:14 2020,6.92,31.663,38.348,18104.32,95.807082031,0.0
Wed Jun 24 02:35:21 2020,6.921,31.666,36.357,18498.56,95.804640625,0.0
Wed Jun 24 02:35:27 2020,6.919,31.648,40.917,17807.36,95.804054687,0.0
Wed Jun 24 02:35:34 2020,6.92,31.545,41.694,17648.64,95.805867187,0.0
Wed Jun 24 02:35:41 2020,6.92,31.563,41.32,17884.16,95.806964843,0.0
Wed Jun 24 02:35:48 2020,6.921,31.696,36.192,17971.2,95.803828125,0.0
Wed Jun 24 02:35:55 2020,6.92,31.683,40.808,18114.56,95.811082031,0.0
Wed Jun 24 02:36:02 2020,6.919,31.656,41.419,17960.96,95.808449218,0.0
Wed Jun 24 02:36:09 2020,6.92,31.799,42.626,18063.36,95.807140625,0.0
Wed Jun 24 02:36:16 2020,6.92,31.887,41.893,16184.32,95.807621093,0.0
Wed Jun 24 02:36:23 2020,6.92,31.955,37.426,16030.72,95.809132812,0.0
Wed Jun 24 02:36:30 2020,6.92,31.933,38.075,16394.24,95.808824218,0.0
Wed Jun 24 02:36:37 2020,6.92,31.895,36.795,16307.2,95.806445312,0.0
Wed Jun 24 02:36:44 2020,6.92,31.938,37.55,16184.32,95.808476562,0.0
Wed Jun 24 02:36:51 2020,6.92,31.96,39.66,15795.2,95.807871093,0.0
Wed Jun 24 02:36:57 2020,6.92,32.054,39.155,16051.2,95.80671875,0.0
Wed Jun 24 02:37:04 2020,6.92,32.132,40.692,16204.8,95.802902343,0.0
Wed Jun 24 02:37:11 2020,6.92,32.215,38.783,16112.64,95.802621093,0.0
Wed Jun 24 02:37:18 2020,6.92,32.192,41.589,16599.04,95.803726562,0.0
Wed Jun 24 02:37:25 2020,6.919,32.361,40.235,16778.24,95.8031875,0.0
Wed Jun 24 02:37:32 2020,6.92,32.409,37.661,16209.92,95.802304687,0.0
Wed Jun 24 02:37:39 2020,6.92,32.466,38.606,16215.04,95.801578125,0.0
Wed Jun 24 02:37:46 2020,6.921,32.55,40.182,16706.56,95.804148437,0.0
Wed Jun 24 02:37:53 2020,6.919,32.648,40.611,16307.2,95.802046875,0.0
Wed Jun 24 02:38:00 2020,6.92,32.615,36.593,17223.68,95.803328125,0.0
Wed Jun 24 02:38:07 2020,6.92,32.492,39.176,16926.72,95.80340625,0.0
Wed Jun 24 02:38:14 2020,6.92,32.499,39.901,16983.04,95.80359375,0.0
Wed Jun 24 02:38:20 2020,6.92,32.502,34.834,17694.72,95.799984375,0.0
Wed Jun 24 02:38:27 2020,6.92,32.409,37.078,16727.04,95.804453125,0.0
Wed Jun 24 02:38:34 2020,6.919,32.351,40.336,16005.12,95.803441406,0.0
Wed Jun 24 02:38:41 2020,6.92,32.383,41.778,15733.76,95.800660156,0.0
Wed Jun 24 02:38:48 2020,6.92,32.487,38.99,16204.8,95.802292968,0.0
Wed Jun 24 02:38:55 2020,6.92,32.494,38.314,16046.08,95.8023125,0.0
Wed Jun 24 02:39:02 2020,6.967,32.421,36.222,16706.56,95.797964843,0.0
Wed Jun 24 02:39:09 2020,6.919,32.439,36.114,17392.64,95.798433593,0.0
Wed Jun 24 02:39:16 2020,6.92,32.522,37.385,17966.08,95.800003906,0.0
Wed Jun 24 02:39:23 2020,6.92,32.55,38.043,19133.44,95.803636718,0.0
Wed Jun 24 02:39:30 2020,6.922,32.623,42.723,18974.72,95.802777343,0.0
Wed Jun 24 02:39:37 2020,6.92,32.67,40.338,18856.96,95.803714843,0.0
Wed Jun 24 02:39:44 2020,6.92,32.784,38.951,19374.08,95.800652343,0.0
Wed Jun 24 02:39:50 2020,6.92,32.791,37.289,18995.2,95.799917968,0.0
Wed Jun 24 02:39:57 2020,6.92,32.874,36.827,19041.28,95.798015625,0.0
Wed Jun 24 02:40:04 2020,6.93,32.973,37.112,19425.28,95.797765625,0.0
Wed Jun 24 02:40:11 2020,6.92,32.884,38.722,19041.28,95.802324218,0.0
Wed Jun 24 02:40:18 2020,6.92,33.003,40.255,19614.72,95.801320312,0.0
Wed Jun 24 02:40:25 2020,6.92,33.071,30.68,18856.96,95.797832031,0.0
Wed Jun 24 02:40:32 2020,6.92,33.048,33.557,18094.08,95.801511718,0.0
Wed Jun 24 02:40:39 2020,6.92,33.151,36.296,18498.56,95.798398437,0.0
Wed Jun 24 02:40:46 2020,6.92,33.124,36.679,16916.48,95.796734375,0.0
Wed Jun 24 02:40:53 2020,6.92,33.101,36.698,17914.88,95.801402343,0.0
Wed Jun 24 02:41:00 2020,6.92,33.063,39.624,17699.84,95.797695312,0.0
Wed Jun 24 02:41:07 2020,6.92,33.081,33.943,17991.68,95.795570312,0.0
Wed Jun 24 02:41:14 2020,6.92,32.983,33.843,18145.28,95.797171875,0.0
Wed Jun 24 02:41:20 2020,6.92,33.061,34.745,17991.68,95.797585937,0.0
Wed Jun 24 02:41:27 2020,6.92,32.988,35.601,17587.2,95.797820312,0.0
Wed Jun 24 02:41:34 2020,6.922,33.01,36.051,17085.44,95.798488281,0.0
Wed Jun 24 02:41:41 2020,6.918,32.998,34.219,16691.2,95.796097656,0.0
Wed Jun 24 02:41:48 2020,6.92,32.975,33.86,16291.84,95.793875,0.0
Wed Jun 24 02:41:55 2020,6.92,32.978,33.157,17361.92,95.78875,0.0
Wed Jun 24 02:42:02 2020,6.922,32.713,32.148,17182.72,95.789121093,0.0
Wed Jun 24 02:42:09 2020,6.92,32.56,32.299,17607.68,95.791097656,0.0
Wed Jun 24 02:42:16 2020,6.92,32.517,36.424,17126.4,95.7919375,0.0
Wed Jun 24 02:42:23 2020,6.92,32.58,33.459,17346.56,95.7909375,0.0
Wed Jun 24 02:42:30 2020,6.921,32.743,36.164,17474.56,95.792542968,0.0
Wed Jun 24 02:42:37 2020,6.919,32.771,34.515,17428.48,95.792457031,0.0
Wed Jun 24 02:42:43 2020,6.922,32.814,32.759,17295.36,95.794730468,0.0
Wed Jun 24 02:42:50 2020,6.92,32.892,38.543,17561.6,95.799460937,0.0
Wed Jun 24 02:42:57 2020,6.92,32.915,35.392,16256.0,95.795386718,0.0
Wed Jun 24 02:43:04 2020,6.92,32.988,37.246,16250.88,95.7964375,0.0
Wed Jun 24 02:43:11 2020,6.92,33.015,36.109,16307.2,95.794851562,0.0
Wed Jun 24 02:43:18 2020,6.919,32.988,35.528,17018.88,95.794585937,0.0
Wed Jun 24 02:43:25 2020,6.92,32.99,36.402,17203.2,95.792824218,0.0
Wed Jun 24 02:43:32 2020,6.919,32.967,35.623,16947.2,95.792035156,0.0
Wed Jun 24 02:43:39 2020,6.92,32.93,39.018,16542.72,95.794835937,0.0
Wed Jun 24 02:43:46 2020,6.919,33.038,36.37,15805.44,95.791542968,0.0
Wed Jun 24 02:43:53 2020,6.919,33.046,35.618,15866.88,95.7901875,0.0
Wed Jun 24 02:44:00 2020,6.92,32.877,36.624,15703.04,95.788847656,0.0
Wed Jun 24 02:44:07 2020,6.967,32.859,36.524,15938.56,95.784925781,0.0
Wed Jun 24 02:44:14 2020,6.92,32.907,36.322,16000.0,95.780410156,0.0
Wed Jun 24 02:44:20 2020,6.92,32.945,33.287,16465.92,95.787257812,0.0
Wed Jun 24 02:44:27 2020,6.92,32.862,36.022,15969.28,95.789363281,0.0
Wed Jun 24 02:44:34 2020,6.92,32.95,35.502,15923.2,95.783113281,0.0
Wed Jun 24 02:44:41 2020,6.92,32.902,36.01,15539.2,95.784367187,0.0
Wed Jun 24 02:44:48 2020,6.92,32.92,36.607,15395.84,95.786664062,0.0
Wed Jun 24 02:44:55 2020,6.92,32.973,32.54,15621.12,95.784820312,0.0
Wed Jun 24 02:45:02 2020,6.92,32.925,33.433,15252.48,95.789136718,0.0
Wed Jun 24 02:45:09 2020,6.92,32.877,32.467,15375.36,95.78384375,0.0
Wed Jun 24 02:45:16 2020,6.92,32.915,34.034,15313.92,95.792289062,0.0
Wed Jun 24 02:45:23 2020,6.92,32.756,34.753,15656.96,95.789597656,0.0
Wed Jun 24 02:45:30 2020,6.92,32.829,33.534,15616.0,95.79509375,0.0
Wed Jun 24 02:45:37 2020,6.92,32.766,34.097,16399.36,95.792425781,0.0
Wed Jun 24 02:45:43 2020,6.92,32.774,35.945,16332.8,95.790621093,0.0
Wed Jun 24 02:45:50 2020,6.92,32.741,33.377,16168.96,95.789558593,0.0
Wed Jun 24 02:45:57 2020,6.92,32.683,32.502,15989.76,95.79053125,0.0
Wed Jun 24 02:46:04 2020,6.92,32.726,31.698,16209.92,95.789796875,0.0
Wed Jun 24 02:46:11 2020,6.92,32.708,33.0,15933.44,95.786984375,0.0
Wed Jun 24 02:46:18 2020,6.92,32.696,31.591,16230.4,95.793847656,0.0
Wed Jun 24 02:46:25 2020,6.92,32.743,34.916,15687.68,95.791546875,0.0
Wed Jun 24 02:46:32 2020,6.92,32.68,34.609,15918.08,95.791625,0.0
Wed Jun 24 02:46:39 2020,6.924,32.648,32.133,16010.24,95.791117187,0.0
Wed Jun 24 02:46:46 2020,6.917,32.56,36.285,16112.64,95.794773437,0.0
Wed Jun 24 02:46:53 2020,6.919,32.683,38.175,15784.96,95.791664062,0.0
Wed Jun 24 02:47:00 2020,6.919,32.721,33.816,15764.48,95.788023437,0.0
Wed Jun 24 02:47:07 2020,6.92,32.688,36.75,15697.92,95.792085937,0.0
Wed Jun 24 02:47:13 2020,6.92,32.731,36.868,15774.72,95.792195312,0.0
Wed Jun 24 02:47:20 2020,6.919,32.723,35.688,15836.16,95.791273437,0.0
Wed Jun 24 02:47:27 2020,6.92,32.756,35.44,15923.2,95.792332031,0.0
Wed Jun 24 02:47:34 2020,6.92,32.799,34.349,16112.64,95.793582031,0.0
Wed Jun 24 02:47:41 2020,6.919,32.736,36.16,16373.76,95.792777343,0.0
Wed Jun 24 02:47:48 2020,6.92,32.728,37.763,16327.68,95.79609375,0.0
Wed Jun 24 02:47:55 2020,6.92,32.842,35.214,16394.24,95.795515625,0.0
Wed Jun 24 02:48:02 2020,6.92,32.849,36.268,16583.68,95.795382812,0.0
Wed Jun 24 02:48:09 2020,6.92,32.842,33.221,16117.76,95.792472656,0.0
Wed Jun 24 02:48:16 2020,6.92,32.819,34.693,16040.96,95.79325,0.0
Wed Jun 24 02:48:23 2020,6.919,32.922,36.575,16276.48,95.796167968,0.0
Wed Jun 24 02:48:30 2020,6.92,32.869,36.784,16107.52,95.79384375,0.0
Wed Jun 24 02:48:36 2020,6.923,32.952,36.837,16199.68,95.791832031,0.0
Wed Jun 24 02:48:43 2020,6.92,32.894,34.477,15902.72,95.795667968,0.0
Wed Jun 24 02:48:50 2020,6.92,32.947,31.903,15820.8,95.793414062,0.0
Wed Jun 24 02:48:57 2020,6.92,32.965,32.89,15923.2,95.795011718,0.0
Wed Jun 24 02:49:04 2020,6.92,32.927,36.553,16143.36,95.796742187,0.0
Wed Jun 24 02:49:11 2020,6.921,33.0,35.572,15872.0,95.795671875,0.0
Wed Jun 24 02:49:18 2020,6.92,32.957,36.489,16010.24,95.798433593,0.0
Wed Jun 24 02:49:25 2020,6.92,32.95,34.947,16071.68,95.79684375,0.0
Wed Jun 24 02:49:32 2020,6.921,32.978,34.124,16030.72,95.7946875,0.0
Wed Jun 24 02:49:39 2020,6.919,32.975,33.399,16097.28,95.794367187,0.0
Wed Jun 24 02:49:46 2020,6.92,32.892,32.641,16168.96,95.794667968,0.0
Wed Jun 24 02:49:53 2020,6.92,32.9,33.628,16414.72,95.79278125,0.0
Wed Jun 24 02:50:00 2020,6.919,32.988,35.366,16378.88,95.791625,0.0
Wed Jun 24 02:50:06 2020,6.92,33.015,35.911,16307.2,95.791304687,0.0
Wed Jun 24 02:50:13 2020,6.919,33.023,33.258,16271.36,95.79184375,0.0
Wed Jun 24 02:50:20 2020,6.92,33.106,34.416,16343.04,95.792128906,0.0
Wed Jun 24 02:50:27 2020,6.919,33.108,36.666,16291.84,95.795929687,0.0
Wed Jun 24 02:50:34 2020,6.92,33.232,38.343,16240.64,95.794515625,0.0
Wed Jun 24 02:50:41 2020,6.919,33.209,32.595,15948.8,95.789535156,0.0
Wed Jun 24 02:50:48 2020,6.92,33.207,39.872,15953.92,95.79246875,0.0
Wed Jun 24 02:50:55 2020,6.919,33.285,36.996,15923.2,95.788152343,0.0
Wed Jun 24 02:51:02 2020,6.92,33.297,36.906,15979.52,95.787527343,0.0
Wed Jun 24 02:51:09 2020,6.92,33.39,32.531,15948.8,95.785101562,0.0
Wed Jun 24 02:51:16 2020,6.92,33.312,34.706,16215.04,95.788234375,0.0
Wed Jun 24 02:51:23 2020,6.921,33.36,30.673,16133.12,95.786574218,0.0
Wed Jun 24 02:51:29 2020,6.919,33.227,35.331,16071.68,95.788171875,0.0
Wed Jun 24 02:51:36 2020,6.919,33.36,35.879,15974.4,95.78575,0.0
Wed Jun 24 02:51:43 2020,6.92,33.378,39.378,16040.96,95.785023437,0.0
Wed Jun 24 02:51:50 2020,6.92,33.36,37.188,16051.2,95.783828125,0.0
Wed Jun 24 02:51:57 2020,6.92,33.403,40.528,15805.44,95.781003906,0.0
Wed Jun 24 02:52:04 2020,6.92,33.456,35.949,16030.72,95.782183593,0.0
Wed Jun 24 02:52:11 2020,6.92,33.302,35.484,15703.04,95.782183593,0.0
Wed Jun 24 02:52:18 2020,6.92,33.315,36.077,15887.36,95.78240625,0.0
Wed Jun 24 02:52:25 2020,6.92,33.267,36.866,15953.92,95.783070312,0.0
Wed Jun 24 02:52:32 2020,6.919,33.295,37.371,16046.08,95.787101562,0.0
Wed Jun 24 02:52:39 2020,6.92,33.312,35.157,15994.88,95.782011718,0.0
Wed Jun 24 02:52:46 2020,6.92,33.244,33.285,15974.4,95.782953125,0.0
Wed Jun 24 02:52:52 2020,6.92,33.297,35.261,16005.12,95.785488281,0.0
Wed Jun 24 02:52:59 2020,6.92,33.365,35.482,16107.52,95.787148437,0.0
Wed Jun 24 02:53:06 2020,6.919,33.292,34.761,16163.84,95.783363281,0.0
Wed Jun 24 02:53:13 2020,6.92,33.335,35.971,16040.96,95.784667968,0.0
Wed Jun 24 02:53:20 2020,6.92,33.403,36.518,16092.16,95.785074218,0.0
Wed Jun 24 02:53:27 2020,6.92,33.461,37.423,15912.96,95.786640625,0.0
Wed Jun 24 02:53:34 2020,6.92,33.499,39.152,15703.04,95.785507812,0.0
Wed Jun 24 02:53:41 2020,6.92,33.491,40.24,15943.68,95.787566406,0.0
Wed Jun 24 02:53:48 2020,6.92,33.494,38.182,15769.6,95.787304687,0.0
Wed Jun 24 02:53:55 2020,6.919,33.511,36.746,15938.56,95.784914062,0.0
Wed Jun 24 02:54:02 2020,6.92,33.469,34.709,15800.32,95.788644531,0.0
Wed Jun 24 02:54:09 2020,6.931,33.526,36.004,15851.52,95.785753906,0.0
Wed Jun 24 02:54:16 2020,6.919,33.559,33.503,15687.68,95.785324218,0.0
Wed Jun 24 02:54:22 2020,6.92,33.516,31.964,15528.96,95.784425781,0.0
Wed Jun 24 02:54:29 2020,6.92,33.564,32.237,15825.92,95.782066406,0.0
Wed Jun 24 02:54:36 2020,6.92,33.501,33.032,15201.28,95.781070312,0.0
Wed Jun 24 02:54:43 2020,6.92,33.529,31.694,15180.8,95.777574218,0.0
Wed Jun 24 02:54:50 2020,6.92,33.481,30.325,15247.36,95.780492187,0.0
Wed Jun 24 02:54:57 2020,6.92,33.438,34.837,15365.12,95.788160156,0.0
Wed Jun 24 02:55:04 2020,6.92,33.395,37.533,15160.32,95.783421875,0.0
Wed Jun 24 02:55:11 2020,6.928,33.297,34.7,15872.0,95.787660156,0.0
Wed Jun 24 02:55:18 2020,6.919,33.27,36.325,15810.56,95.788558593,0.0
Wed Jun 24 02:55:25 2020,6.92,33.121,36.753,15815.68,95.794128906,0.0
Wed Jun 24 02:55:32 2020,6.919,32.867,37.796,15805.44,95.793324218,0.0
Wed Jun 24 02:55:39 2020,6.918,32.789,36.808,15856.64,95.791859375,0.0
Wed Jun 24 02:55:46 2020,6.919,32.675,40.771,15897.6,95.791007812,0.0
Wed Jun 24 02:55:52 2020,6.92,32.638,38.172,15851.52,95.785804687,0.0
Wed Jun 24 02:55:59 2020,6.92,32.716,37.905,15672.32,95.789316406,0.0
Wed Jun 24 02:56:06 2020,6.92,32.683,37.147,15856.64,95.789269531,0.0
Wed Jun 24 02:56:13 2020,6.92,32.796,38.073,15800.32,95.792789062,0.0
Wed Jun 24 02:56:20 2020,6.92,32.905,35.173,16015.36,95.793476562,0.0
Wed Jun 24 02:56:27 2020,6.919,32.978,36.434,15795.2,95.792902343,0.0
Wed Jun 24 02:56:34 2020,6.92,33.035,35.264,15923.2,95.793785156,0.0
Wed Jun 24 02:56:41 2020,6.921,33.078,35.278,15774.72,95.791875,0.0
Wed Jun 24 02:56:48 2020,6.919,33.197,36.021,16056.32,95.791253906,0.0
Wed Jun 24 02:56:55 2020,6.919,33.179,37.649,16168.96,95.791507812,0.0
Wed Jun 24 02:57:02 2020,6.92,33.262,39.137,16000.0,95.794289062,0.0
Wed Jun 24 02:57:09 2020,6.92,33.29,35.833,15882.24,95.791875,0.0
Wed Jun 24 02:57:15 2020,6.92,33.333,32.484,15872.0,95.787574218,0.0
Wed Jun 24 02:57:22 2020,6.919,33.38,32.131,16107.52,95.782753906,0.0
Wed Jun 24 02:57:29 2020,6.919,33.333,33.882,16343.04,95.780808593,0.0
Wed Jun 24 02:57:36 2020,6.92,33.395,28.396,16102.4,95.783667968,0.0
Wed Jun 24 02:57:43 2020,6.921,33.418,30.415,16302.08,95.780851562,0.0
Wed Jun 24 02:57:50 2020,6.92,33.466,28.271,16373.76,95.780765625,0.0
Wed Jun 24 02:57:57 2020,6.919,33.534,27.201,16266.24,95.781082031,0.0
Wed Jun 24 02:58:04 2020,6.92,33.627,26.351,15831.04,95.777878906,0.0
Wed Jun 24 02:58:11 2020,6.92,33.539,33.351,15933.44,95.781246093,0.0
Wed Jun 24 02:58:18 2020,6.92,33.552,33.932,15969.28,95.783777343,0.0
Wed Jun 24 02:58:25 2020,6.92,33.524,35.691,15959.04,95.783414062,0.0
Wed Jun 24 02:58:32 2020,6.92,33.547,34.194,16122.88,95.783816406,0.0
Wed Jun 24 02:58:39 2020,6.919,33.604,32.554,16010.24,95.781425781,0.0
Wed Jun 24 02:58:45 2020,6.919,33.466,30.615,16117.76,95.780664062,0.0
Wed Jun 24 02:58:52 2020,6.919,33.504,32.508,16312.32,95.784058593,0.0
Wed Jun 24 02:58:59 2020,6.92,33.552,30.029,16291.84,95.78053125,0.0
Wed Jun 24 02:59:06 2020,6.92,33.544,28.66,16046.08,95.7799375,0.0
Wed Jun 24 02:59:13 2020,6.919,33.562,32.803,16128.0,95.777785156,0.0
Wed Jun 24 02:59:20 2020,6.92,33.64,35.295,16209.92,95.782476562,0.0
Wed Jun 24 02:59:27 2020,6.92,33.627,29.403,16158.72,95.780585937,0.0
Wed Jun 24 02:59:34 2020,6.92,33.725,29.661,16261.12,95.779792968,0.0
Wed Jun 24 02:59:41 2020,6.92,33.829,28.005,16307.2,95.778726562,0.0
Wed Jun 24 02:59:48 2020,6.92,33.836,26.893,16194.56,95.782386718,0.0
Wed Jun 24 02:59:55 2020,6.92,33.939,30.27,15943.68,95.778964843,0.0
Wed Jun 24 03:00:02 2020,6.919,34.027,26.972,15933.44,95.780890625,0.0
Wed Jun 24 03:00:08 2020,6.92,33.934,25.433,15851.52,95.779164062,0.0
Wed Jun 24 03:00:15 2020,6.921,33.861,31.636,15887.36,95.782289062,0.0
Wed Jun 24 03:00:22 2020,6.919,33.849,33.047,16020.48,95.784121093,0.0
Wed Jun 24 03:00:29 2020,6.92,33.886,35.575,16133.12,95.784121093,0.0
Wed Jun 24 03:00:36 2020,6.92,33.869,36.215,16102.4,95.783957031,0.0
Wed Jun 24 03:00:43 2020,6.919,33.977,34.077,16087.04,95.783390625,0.0
Wed Jun 24 03:00:50 2020,6.921,33.98,35.354,16092.16,95.777136718,0.0
Wed Jun 24 03:00:57 2020,6.92,34.048,34.031,16240.64,95.776640625,0.0
Wed Jun 24 03:01:04 2020,6.92,34.02,33.282,15831.04,95.780464843,0.0
Wed Jun 24 03:01:11 2020,6.919,33.907,32.649,15856.64,95.784488281,0.0
Wed Jun 24 03:01:18 2020,6.92,33.874,36.215,15897.6,95.786515625,0.0
Wed Jun 24 03:01:25 2020,6.92,33.861,33.1,15912.96,95.783722656,0.0
Wed Jun 24 03:01:32 2020,6.919,33.924,31.478,15994.88,95.784820312,0.0
Wed Jun 24 03:01:38 2020,6.92,33.811,31.309,15964.16,95.78365625,0.0
Wed Jun 24 03:01:45 2020,6.92,33.803,30.236,15984.64,95.780460937,0.0
