EarthPod Sensor Log
Created: Wed Jun 24 01:17:26 2020

Measurement Time,Time Step (s),Temperature (C),Humidity (%),Light (lux),Pressure (kPa),Wind (m/s)
Wed Jun 24 01:26:57 2020,6.923,30.107,36.468,13491.2,95.828589843,2.6182290914343493
Wed Jun 24 01:27:04 2020,6.922,30.06,36.5,13588.48,95.830050781,2.151545796012713
Wed Jun 24 01:27:10 2020,6.934,30.082,35.787,13455.36,95.83146875,3.561869051052783
Wed Jun 24 01:27:17 2020,6.923,30.11,35.111,13527.04,95.835789062,3.253647262747364
Wed Jun 24 01:27:24 2020,6.923,30.213,34.555,13440.0,95.843054687,4.103423371370793
Wed Jun 24 01:27:31 2020,6.924,30.301,35.52,13521.92,95.834851562,3.4828134026574227
Wed Jun 24 01:27:38 2020,6.924,30.304,37.353,13399.04,95.834472656,3.023541305603697
Wed Jun 24 01:27:45 2020,6.929,30.342,38.151,13491.2,95.838222656,3.113147640352143
Wed Jun 24 01:27:52 2020,6.924,30.238,38.357,13547.52,95.843488281,3.0158867706528016
Wed Jun 24 01:27:59 2020,6.924,30.231,37.565,13987.84,95.836660156,3.3679953783939918
Wed Jun 24 01:28:06 2020,6.923,30.138,37.872,13475.84,95.839832031,2.8785208724541382
Wed Jun 24 01:28:13 2020,6.922,30.15,38.114,13537.28,95.840839843,2.6032938457093326
Wed Jun 24 01:28:20 2020,6.924,30.158,37.014,13475.84,95.837636718,3.130704794916233
Wed Jun 24 01:28:27 2020,6.923,30.019,36.024,13409.28,95.837457031,2.955077278636429
Wed Jun 24 01:28:34 2020,6.923,30.087,37.448,13521.92,95.834824218,2.7330637007077856
Wed Jun 24 01:28:40 2020,6.923,30.09,37.498,13557.76,95.840382812,3.513939043767153
Wed Jun 24 01:28:47 2020,6.925,30.037,37.887,13419.52,95.84065625,3.367509025270758
Wed Jun 24 01:28:54 2020,6.924,30.019,35.231,13511.68,95.837964843,2.954650491045638
Wed Jun 24 01:29:01 2020,6.922,30.198,37.188,13527.04,95.8336875,2.473129153423866
Wed Jun 24 01:29:08 2020,6.922,30.301,34.696,13501.44,95.830375,1.6385437734758739
Wed Jun 24 01:29:15 2020,6.923,30.289,34.072,13608.96,95.830054687,2.8325870287447636
Wed Jun 24 01:29:22 2020,6.921,30.296,35.664,13511.68,95.830890625,2.5424071665944226
Wed Jun 24 01:29:29 2020,6.923,30.228,36.639,13506.56,95.8250625,2.120612451249458
Wed Jun 24 01:29:36 2020,6.922,30.105,38.667,13450.24,95.8284375,1.875902918231725
Wed Jun 24 01:29:43 2020,6.922,30.112,37.768,13460.48,95.825558593,2.0520080901473565
Wed Jun 24 01:29:50 2020,6.923,30.105,37.712,13440.0,95.826042968,1.5617506861187345
Wed Jun 24 01:29:57 2020,6.919,30.193,33.505,13445.12,95.826339843,0.7277063159416101
Wed Jun 24 01:30:04 2020,6.921,30.477,34.162,13629.44,95.825949218,1.378413524057217
Wed Jun 24 01:30:10 2020,6.922,30.495,31.979,13537.28,95.823757812,1.6079167870557642
Wed Jun 24 01:30:17 2020,6.922,30.538,32.972,13486.08,95.824894531,2.151545796012713
Wed Jun 24 01:30:24 2020,6.922,30.596,34.109,13501.44,95.823707031,1.6308870268708466
Wed Jun 24 01:30:31 2020,6.921,30.749,31.547,13516.8,95.826679687,1.1027308192457737
Wed Jun 24 01:30:38 2020,6.921,30.863,31.82,13378.56,95.826332031,1.1486779367143476
Wed Jun 24 01:30:45 2020,6.922,30.956,32.679,13424.64,95.821652343,1.5619763074255997
Wed Jun 24 01:30:52 2020,6.92,31.004,31.555,13486.08,95.825734375,1.2713872832369941
Wed Jun 24 01:30:59 2020,6.921,31.142,32.237,13603.84,95.826003906,1.4856234648172228
Wed Jun 24 01:31:06 2020,6.922,31.14,31.607,13711.36,95.830050781,1.8912164114417798
Wed Jun 24 01:31:13 2020,6.922,31.122,33.152,13941.76,95.832027343,2.8406529904651836
Wed Jun 24 01:31:20 2020,6.923,30.923,32.833,13957.12,95.839285156,2.9627329192546585
Wed Jun 24 01:31:27 2020,6.922,30.966,34.007,13895.68,95.828113281,1.4777520947702976
Wed Jun 24 01:31:34 2020,6.919,30.928,40.237,14095.36,95.833648437,0.0
Wed Jun 24 01:31:40 2020,6.92,30.885,37.321,13926.4,95.831203125,0.0
Wed Jun 24 01:31:47 2020,6.92,30.717,34.939,14039.04,95.825964843,0.0
Wed Jun 24 01:31:54 2020,6.919,30.608,38.508,14013.44,95.825667968,0.0
Wed Jun 24 01:32:01 2020,6.908,30.616,36.837,14059.52,95.829789062,0.0
Wed Jun 24 01:32:08 2020,6.92,30.457,37.614,14131.2,95.827683593,0.0
Wed Jun 24 01:32:15 2020,6.92,30.379,38.153,14095.36,95.826238281,0.0
Wed Jun 24 01:32:22 2020,6.921,30.377,41.517,13992.96,95.828839843,0.0
Wed Jun 24 01:32:29 2020,6.92,30.42,40.875,13987.84,95.8313125,0.0
Wed Jun 24 01:32:36 2020,6.921,30.422,36.408,13977.6,95.829191406,0.0
