EarthPod Sensor Log
Created: Wed May 20 01:33:06 2020

Measurement Time,Time Step (s),Temperature (C),Humidity (%),Light (lux),Pressure (kPa)
Wed May 20 02:13:24 2020,5.903,43.089,18.161,4.28,96.456964843
Wed May 20 02:13:30 2020,5.906,43.091,18.174,4.3,96.457808593
Wed May 20 02:13:36 2020,5.902,43.134,17.163,4.29,96.456976562
Wed May 20 02:13:42 2020,5.899,43.111,18.037,4.24,96.456914062
Wed May 20 02:13:48 2020,5.899,43.099,17.953,4.26,96.460613281
Wed May 20 02:13:54 2020,5.899,43.147,17.533,4.29,96.456140625
Wed May 20 02:14:00 2020,5.898,43.154,18.182,4.24,96.453933593
Wed May 20 02:14:06 2020,5.904,43.147,18.547,4.22,96.454585937
Wed May 20 02:14:11 2020,5.898,43.174,18.707,4.22,96.452171875
Wed May 20 02:14:17 2020,5.899,43.157,18.33,4.21,96.45296875
Wed May 20 02:14:23 2020,5.903,43.174,17.547,4.2,96.4535
Wed May 20 02:14:29 2020,5.898,43.182,18.269,4.2,96.456582031
Wed May 20 02:14:35 2020,5.899,43.179,18.264,4.19,96.460011718
Wed May 20 02:14:41 2020,5.898,43.177,17.707,4.17,96.457050781
Wed May 20 02:14:47 2020,5.899,43.204,17.962,4.18,96.459144531
Wed May 20 02:14:53 2020,5.898,43.182,18.208,4.15,96.459800781
Wed May 20 02:14:59 2020,5.899,43.26,17.489,4.11,96.459722656
Wed May 20 02:15:05 2020,5.899,43.197,17.57,4.11,96.458523437
Wed May 20 02:15:10 2020,5.899,43.23,18.374,4.1,96.456820312
Wed May 20 02:15:16 2020,5.906,43.252,17.237,4.11,96.458527343
Wed May 20 02:15:22 2020,5.903,43.255,18.2,4.07,96.454988281
Wed May 20 02:15:28 2020,5.903,43.277,17.576,4.06,96.452183593
Wed May 20 02:15:34 2020,5.903,43.24,17.639,4.09,96.451039062
Wed May 20 02:15:40 2020,5.899,43.272,18.061,4.06,96.452089843
Wed May 20 02:15:46 2020,5.898,43.295,17.251,4.06,96.454113281
Wed May 20 02:15:52 2020,5.899,43.288,18.522,4.05,96.453339843
Wed May 20 02:15:58 2020,5.899,43.25,18.344,4.04,96.452914062
Wed May 20 02:16:04 2020,5.898,43.252,17.832,4.05,96.452179687
Wed May 20 02:16:09 2020,5.899,43.29,17.581,3.99,96.453679687
Wed May 20 02:16:15 2020,5.904,43.247,19.078,4.02,96.452328125
Wed May 20 02:16:21 2020,5.904,43.255,18.927,4.0,96.456117187
Wed May 20 02:16:27 2020,5.905,43.257,18.934,4.02,96.453359375
Wed May 20 02:16:33 2020,5.902,43.28,18.408,3.98,96.45415625
Wed May 20 02:16:39 2020,5.899,43.257,17.72,4.0,96.458210937
Wed May 20 02:16:45 2020,5.9,43.26,17.446,3.96,96.453214843
Wed May 20 02:16:51 2020,5.899,43.267,17.57,3.96,96.459433593
Wed May 20 02:16:57 2020,5.899,43.295,18.466,3.97,96.453929687
Wed May 20 02:17:03 2020,5.898,43.288,18.379,3.99,96.453914062
Wed May 20 02:17:08 2020,5.908,43.3,18.127,3.94,96.453148437
Wed May 20 02:17:14 2020,5.912,43.333,17.597,3.93,96.451570312
Wed May 20 02:17:20 2020,5.899,43.295,18.124,3.93,96.454664062
Wed May 20 02:17:26 2020,5.903,43.323,17.64,3.89,96.454
